text,entities
Je voudrais aller de Toulouse à Bordeaux.,"[{'start': 21, 'end': 29, 'label': 'DEPARTURE'}, {'start': 32, 'end': 40, 'label': 'DESTINATION'}]"
Comment me rendre à Port-Boulet depuis la gare de Tours ?,"[{'start': 20, 'end': 31, 'label': 'DESTINATION'}, {'start': 50, 'end': 55, 'label': 'DEPARTURE'}]"
Je veux aller voir mon ami Albert à Tours en partant de Bordeaux.,"[{'start': 36, 'end': 41, 'label': 'DESTINATION'}, {'start': 56, 'end': 64, 'label': 'DEPARTURE'}]"
Y a-t-il des trains de Nantes à Montaigu ?,"[{'start': 23, 'end': 29, 'label': 'DEPARTURE'}, {'start': 32, 'end': 40, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Paris en partant de Toulouse,"[{'start': 25, 'end': 30, 'label': 'DESTINATION'}, {'start': 45, 'end': 53, 'label': 'DEPARTURE'}]"
Je quitte Lyon pour aller à Marseille,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 29, 'end': 38, 'label': 'DESTINATION'}]"
"En partant de Bordeaux, je veux me rendre à Lille","[{'start': 15, 'end': 23, 'label': 'DEPARTURE'}, {'start': 45, 'end': 50, 'label': 'DESTINATION'}]"
Nantes est ma ville de départ pour rejoindre Strasbourg,"[{'start': 1, 'end': 7, 'label': 'DEPARTURE'}, {'start': 46, 'end': 56, 'label': 'DESTINATION'}]"
Je pars de Nice pour me rendre à Montpellier,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 34, 'end': 45, 'label': 'DESTINATION'}]"
Rennes est d'où je pars pour aller à Toulon,"[{'start': 1, 'end': 7, 'label': 'DEPARTURE'}, {'start': 38, 'end': 44, 'label': 'DESTINATION'}]"
"En partant de Nîmes, je veux rejoindre Angers","[{'start': 15, 'end': 20, 'label': 'DEPARTURE'}, {'start': 40, 'end': 46, 'label': 'DESTINATION'}]"
Je quitte Grenoble pour me rendre à Clermont-Ferrand,"[{'start': 11, 'end': 19, 'label': 'DEPARTURE'}, {'start': 37, 'end': 53, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Bordeaux en partant de Marseille,"[{'start': 25, 'end': 33, 'label': 'DESTINATION'}, {'start': 48, 'end': 57, 'label': 'DEPARTURE'}]"
Je pars de Strasbourg pour rejoindre Lyon,"[{'start': 12, 'end': 22, 'label': 'DEPARTURE'}, {'start': 38, 'end': 42, 'label': 'DESTINATION'}]"
Paris est ma ville de départ pour aller à Lille,"[{'start': 1, 'end': 6, 'label': 'DEPARTURE'}, {'start': 43, 'end': 48, 'label': 'DESTINATION'}]"
Je quitte Montpellier pour me rendre à Toulouse,"[{'start': 11, 'end': 22, 'label': 'DEPARTURE'}, {'start': 40, 'end': 48, 'label': 'DESTINATION'}]"
"En partant de Marseille, je veux me rendre à Nice","[{'start': 15, 'end': 24, 'label': 'DEPARTURE'}, {'start': 46, 'end': 50, 'label': 'DESTINATION'}]"
Je pars de Lille pour rejoindre Rennes,"[{'start': 12, 'end': 17, 'label': 'DEPARTURE'}, {'start': 33, 'end': 39, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Toulon,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 50, 'label': 'DEPARTURE'}]"
Je quitte Clermont-Ferrand pour aller à Nîmes,"[{'start': 11, 'end': 27, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}]"
"En partant d'Angers, je veux me rendre à Bordeaux","[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 42, 'end': 50, 'label': 'DESTINATION'}]"
Je pars de Toulouse pour rejoindre Paris,"[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 36, 'end': 41, 'label': 'DESTINATION'}]"
Nantes est ma ville de départ pour aller à Strasbourg,"[{'start': 1, 'end': 7, 'label': 'DEPARTURE'}, {'start': 44, 'end': 54, 'label': 'DESTINATION'}]"
Je quitte Nice pour me rendre à Montpellier,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 33, 'end': 44, 'label': 'DESTINATION'}]"
"Je désire me rendre à la majestueuse ville de Paris, en émanant de la belle cité de Toulouse","[{'start': 47, 'end': 52, 'label': 'DESTINATION'}, {'start': 85, 'end': 93, 'label': 'DEPARTURE'}]"
Je quitte la splendide cité de Lyon en vue de gagner la magnifique ville de Marseille,"[{'start': 32, 'end': 36, 'label': 'DEPARTURE'}, {'start': 77, 'end': 86, 'label': 'DESTINATION'}]"
"En provenance de la prestigieuse métropole bordelaise, je souhaite me diriger vers la charmante cité de Lille","[{'start': 34, 'end': 54, 'label': 'DEPARTURE'}, {'start': 105, 'end': 110, 'label': 'DESTINATION'}]"
La ville de Nantes est mon point d'origine pour rejoindre la vénérable ville de Strasbourg,"[{'start': 13, 'end': 19, 'label': 'DEPARTURE'}, {'start': 81, 'end': 91, 'label': 'DESTINATION'}]"
Mon intention est de partir de la pittoresque ville de Nice pour rejoindre la séduisante cité de Montpellier,"[{'start': 56, 'end': 60, 'label': 'DEPARTURE'}, {'start': 98, 'end': 109, 'label': 'DESTINATION'}]"
J'entame mon périple depuis la distinguée ville de Rennes en direction de la ravissante cité de Toulon,"[{'start': 52, 'end': 58, 'label': 'DEPARTURE'}, {'start': 97, 'end': 103, 'label': 'DESTINATION'}]"
"En provenance de la historique cité de Nîmes, je désire me rendre à la distinguée ville d'Angers","[{'start': 40, 'end': 45, 'label': 'DEPARTURE'}, {'start': 89, 'end': 97, 'label': 'DESTINATION'}]"
J'entame mon voyage depuis la charmante cité de Grenoble en vue de me rendre à la pittoresque ville de Clermont-Ferrand,"[{'start': 49, 'end': 57, 'label': 'DEPARTURE'}, {'start': 104, 'end': 120, 'label': 'DESTINATION'}]"
Je souhaite me rendre à la noble ville de Bordeaux en quittant la belle cité de Marseille,"[{'start': 43, 'end': 51, 'label': 'DESTINATION'}, {'start': 81, 'end': 90, 'label': 'DEPARTURE'}]"
Je pars de la glorieuse ville de Strasbourg en vue de rejoindre la prestigieuse cité de Lyon,"[{'start': 34, 'end': 44, 'label': 'DEPARTURE'}, {'start': 89, 'end': 93, 'label': 'DESTINATION'}]"
"Paris est ma ville de départ, où je démarre mon voyage en direction de la vénérable cité de Lille","[{'start': 1, 'end': 6, 'label': 'DEPARTURE'}, {'start': 93, 'end': 98, 'label': 'DESTINATION'}]"
Je quitte la somptueuse ville de Montpellier en vue de gagner la belle cité de Toulouse,"[{'start': 34, 'end': 45, 'label': 'DEPARTURE'}, {'start': 80, 'end': 88, 'label': 'DESTINATION'}]"
"En provenance de la charmante cité de Marseille, je désire me rendre à la magnifique ville de Nice","[{'start': 39, 'end': 48, 'label': 'DEPARTURE'}, {'start': 95, 'end': 99, 'label': 'DESTINATION'}]"
Je m'éclipse de la ravissante cité de Lille en direction de la distinguée ville de Rennes,"[{'start': 39, 'end': 44, 'label': 'DEPARTURE'}, {'start': 84, 'end': 90, 'label': 'DESTINATION'}]"
Je souhaite me rendre à la prestigieuse cité de Lyon en partant de la séduisante ville de Toulon,"[{'start': 49, 'end': 53, 'label': 'DESTINATION'}, {'start': 91, 'end': 97, 'label': 'DEPARTURE'}]"
Je quitte la noble ville de Clermont-Ferrand en vue de me rendre à la pittoresque ville de Nîmes,"[{'start': 29, 'end': 45, 'label': 'DEPARTURE'}, {'start': 92, 'end': 97, 'label': 'DESTINATION'}]"
"En provenance de la distinguée ville d'Angers, je désire me rendre à la prestigieuse cité de Bordeaux","[{'start': 38, 'end': 46, 'label': 'DEPARTURE'}, {'start': 94, 'end': 102, 'label': 'DESTINATION'}]"
Je pars de la charmante cité de Toulouse en vue de rejoindre la majestueuse ville de Paris,"[{'start': 33, 'end': 41, 'label': 'DEPARTURE'}, {'start': 86, 'end': 91, 'label': 'DESTINATION'}]"
La ville de Nantes est mon point de départ pour me rendre à la vénérable cité de Strasbourg,"[{'start': 13, 'end': 19, 'label': 'DEPARTURE'}, {'start': 82, 'end': 92, 'label': 'DESTINATION'}]"
Je quitte la magnifique ville de Nice en vue de me rendre à la pittoresque ville de Montpellier,"[{'start': 34, 'end': 38, 'label': 'DEPARTURE'}, {'start': 85, 'end': 96, 'label': 'DESTINATION'}]"
Je souhaite me transporter de Marseille à Paris,"[{'start': 31, 'end': 40, 'label': 'DEPARTURE'}, {'start': 43, 'end': 48, 'label': 'DESTINATION'}]"
J'entends migrer de Bordeaux à Lyon,"[{'start': 21, 'end': 29, 'label': 'DEPARTURE'}, {'start': 32, 'end': 36, 'label': 'DESTINATION'}]"
Je prévois de voyager de Toulon à Strasbourg,"[{'start': 26, 'end': 32, 'label': 'DEPARTURE'}, {'start': 35, 'end': 45, 'label': 'DESTINATION'}]"
Je désire me déplacer de Nantes à Marseille,"[{'start': 26, 'end': 32, 'label': 'DEPARTURE'}, {'start': 35, 'end': 44, 'label': 'DESTINATION'}]"
Mon intention est de cheminer de Lyon à Toulouse,"[{'start': 34, 'end': 38, 'label': 'DEPARTURE'}, {'start': 41, 'end': 49, 'label': 'DESTINATION'}]"
Je projette de transiter de Nice à Lille,"[{'start': 29, 'end': 33, 'label': 'DEPARTURE'}]"
Je compte me déplacer de Montpellier à Rennes,"[{'start': 26, 'end': 37, 'label': 'DEPARTURE'}, {'start': 40, 'end': 46, 'label': 'DESTINATION'}]"
J'envisage de transférer mon lieu de résidence de Strasbourg à Bordeaux,"[{'start': 51, 'end': 61, 'label': 'DEPARTURE'}, {'start': 64, 'end': 72, 'label': 'DESTINATION'}]"
Je médite sur un déplacement de Paris à Nîmes,"[{'start': 33, 'end': 38, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}]"
Je songe à me rendre de Clermont-Ferrand à Angers,"[{'start': 25, 'end': 41, 'label': 'DEPARTURE'}, {'start': 44, 'end': 50, 'label': 'DESTINATION'}]"
