id,Language,Text
1,eng,How can I get from Paris to London?
2,fr,Comment puis-je aller de Paris à Lyon ?
3,eng,What's the fastest way to get to New York?
4,fr,Quel est le moyen le plus rapide pour aller à Marseille ?
6,eng,Is there a direct train from Chicago to Boston?
7,fr,Y a-t-il un train direct de Bordeaux à Nantes ?
9,eng,Can I walk from Los Angeles to San Francisco?
10,fr,Puis-je marcher de Nice à Cannes ?
11,eng,How do I travel from Berlin to Amsterdam?
12,fr,Comment puis-je voyager de Paris à Toulouse ?
14,eng,What’s the best route from Madrid to Lisbon?
15,fr,Quel est le meilleur trajet de Marseille à Lille ?
17,eng,Can you tell me how to go from Sydney to Melbourne?
18,fr,Pouvez-vous me dire comment aller de Lyon à Grenoble ?
20,eng,Is there a train from New York to Washington DC?
21,fr,Est-ce qu'il y a un train entre Paris et Bruxelles ?
23,eng,How do I get from Tokyo to Osaka by train?
24,fr,Quel est le meilleur moyen d'aller de Nantes à Rennes ?
26,eng,What’s the quickest way to travel from Rome to Venice?
27,fr,Quel est le chemin le plus rapide entre Lille et Bordeaux ?
29,eng,How can I travel from Toronto to Vancouver?
30,fr,Comment faire pour aller de Bordeaux à Paris ?
32,eng,Can I travel from Los Angeles to San Diego by bus?
33,fr,Est-ce que je peux aller de Lyon à Marseille en train ?
35,eng,Is there a ferry from Vancouver to Victoria?
36,fr,Y a-t-il un ferry entre Marseille et Nice ?
38,eng,How do I get from San Francisco to Las Vegas?
39,fr,Comment aller de Paris à Marseille en train ?
41,eng,What’s the most convenient way to travel from Prague to Budapest?
42,fr,Quel est le moyen le plus pratique pour aller de Paris à Lille ?
44,eng,How long does it take to get from London to Manchester?
45,fr,Combien de temps faut-il pour aller de Lyon à Paris en train ?
47,eng,How do I get from Hong Kong to Singapore by plane?
48,fr,Comment puis-je me rendre de Paris à Berlin ?
50,eng,Can you help me get from Tokyo to Kyoto by bus?
51,fr,Comment aller de Toulouse à Montpellier en voiture ?
53,eng,Is there a direct flight from New York to Los Angeles?
54,fr,Est-ce qu'il y a un vol direct de Paris à Barcelone ?
56,eng,What’s the fastest way to get from Berlin to Munich?
57,fr,Quel est le meilleur moyen pour aller de Paris à Lille ?
59,eng,How long does it take to get from Chicago to New York?
60,fr,Combien de temps faut-il pour aller de Nantes à Bordeaux ?
62,eng,How do I get from San Francisco to Yosemite National Park?
63,fr,Quel est le moyen le plus rapide pour aller de Paris à Toulouse ?
65,eng,What’s the easiest way to get from London to Edinburgh?
66,fr,Comment aller de Lyon à Paris en avion ?
68,eng,How can I get from Dallas to Houston by car?
69,fr,Quel est le meilleur moyen de se rendre de Marseille à Paris ?
71,eng,How do I get from Melbourne to Sydney by plane?
72,fr,Comment se rendre de Bordeaux à Toulouse en train ?
74,eng,What’s the best route from Madrid to Barcelona by car?
75,fr,Comment aller de Paris à Montpellier en train ?
77,eng,How do I travel from Miami to Orlando by bus?
78,fr,Est-ce que je peux aller de Toulouse à Nice en train ?
80,eng,Is there a train from San Francisco to Los Angeles?
81,fr,Quel est le trajet le plus rapide entre Paris et Lyon ?
83,eng,How can I get from Chicago to Los Angeles by plane?
84,fr,Comment aller de Bordeaux à Lyon en train ?
86,eng,Can I drive from Seattle to Portland?
87,fr,Est-ce qu'il y a un train direct de Paris à Lille ?
89,eng,What’s the best way to get from London to Paris by bus?
90,fr,Quel est le moyen le plus rapide pour aller de Lyon à Paris ?
92,eng,How do I get from San Francisco to Yosemite by car?
93,fr,Quel est le trajet le plus rapide entre Paris et Nantes ?
95,eng,What’s the best route to get from New York to Boston by train?
96,fr,Comment aller de Lyon à Toulouse en voiture ?
98,eng,How can I travel from Miami to Key West by car?
99,fr,Comment se rendre de Paris à Lyon en voiture ?
