id;Language;Text
1;eng;Is there a train from New York City to Washington, D.C.?
2;ita;Esiste un treno diretto da Firenze a Roma?
3;eng;How do I travel from Berlin to Amsterdam?
4;fr;Quel est le moyen le plus rapide pour aller à Marseille ?
5;ita;Come posso arrivare a Roma da Milano?
6;fr;Est-ce qu'il y a un train entre Paris et Bruxelles ?
7;eng;What’s the best route to drive from Madrid to Lisbon?
8;fr;Y a-t-il un train direct entre Bordeaux et Nantes ?
9;ita;Qual è il percorso più veloce per arrivare a Firenze?
10;eng;Is there a direct train from Chicago to Boston?
11;fr;Quel est le meilleur trajet pour aller de Marseille à Lille ?
12;ita;Come posso arrivare a Napoli partendo da Bologna?
13;eng;How can I get from Paris to London?
14;fr;Puis-je marcher de Nice à Cannes ?
15;eng;Can I walk from Los Angeles to San Francisco?
16;fr;Comment puis-je voyager de Paris à Toulouse ?
17;ita;Qual è il modo più rapido per arrivare a Torino da Roma?
18;eng;How do I get from Tokyo to Osaka by train?
19;fr;Quel est le meilleur moyen pour aller de Nantes à Rennes ?
20;fr;Pouvez-vous me dire comment aller de Lyon à Grenoble ?
21;ita;Come arrivo a Venezia partendo da Milano?
22;eng;What's the fastest way to get to New York?
23;fr;Comment puis-je aller de Paris à Lyon ?
24;eng;Can you tell me how to go from Sydney to Melbourne?
25;ita;Qual è la distanza tra Napoli e Palermo?
26;eng;What’s the quickest way to travel from Rome to Venice?
27;fr;Quel est le chemin le plus rapide entre Lille et Bordeaux ?
28;ita;Come posso arrivare a Genova da Torino in treno?
29;eng;How can I travel from Toronto to Vancouver?
30;fr;Comment faire pour aller de Bordeaux à Paris ?
31;ita;Come posso arrivare a Milano da Firenze?
32;eng;Can I travel from Los Angeles to San Diego by bus?
33;fr;Est-ce que je peux aller de Lyon à Marseille en train ?
34;ita;Qual è il percorso migliore per arrivare a Bologna da Roma?
35;eng;Is there a ferry from Vancouver to Victoria?
36;fr;Y a-t-il un ferry entre Marseille et Nice ?
37;ita;C’è un treno da Torino a Milano?
38;eng;How do I get from San Francisco to Las Vegas?
39;fr;Comment aller de Paris à Marseille en train ?
40;ita;Come si arriva a Napoli da Roma?
41;eng;What’s the most convenient way to travel from Prague to Budapest?
42;fr;Quel est le moyen le plus pratique pour aller de Paris à Lille ?
43;ita;Come posso andare da Firenze a Roma con un treno?
44;eng;How long does it take to get from London to Manchester?
45;fr;Combien de temps faut-il pour aller de Lyon à Paris en train ?
46;ita;Quanto tempo ci vuole per arrivare a Roma da Milano?
47;eng;How do I get from Hong Kong to Singapore by plane?
48;fr;Comment puis-je me rendre de Paris à Berlin ?
