text,tokens,ner_tags,spacy_ner_tags
Aller de CHAUMONT à CAVAILLON.,"['Aller', 'de', 'CHAUMONT', 'à', 'CAVAILLON', '.']","[0, 0, 1, 0, 3, 0]","[{'start': 9, 'end': 17, 'label': 'DEP'}, {'start': 20, 'end': 29, 'label': 'ARR'}]"
Comment aller à LE TAMPON depuis MATOURY ?,"['Comment', 'aller', 'à', 'LE', 'TAMPON', 'depuis', 'MATOURY', '?']","[0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 33, 'end': 40, 'label': 'DEP'}, {'start': 16, 'end': 25, 'label': 'ARR'}]"
Comment atteindre CALAIS depuis LE GOSIER ?,"['Comment', 'atteindre', 'CALAIS', 'depuis', 'LE', 'GOSIER', '?']","[0, 0, 3, 0, 0, 0, 0]","[{'start': 32, 'end': 41, 'label': 'DEP'}, {'start': 18, 'end': 24, 'label': 'ARR'}]"
Comment atteindre BELFORT en partant de REZÉ le plus rapidement ?,"['Comment', 'atteindre', 'BELFORT', 'en', 'partant', 'de', 'REZÉ', 'le', 'plus', 'rapidement', '?']","[0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 40, 'end': 44, 'label': 'DEP'}, {'start': 18, 'end': 25, 'label': 'ARR'}]"
Comment atteindre DRANCY à partir de GRASSE ?,"['Comment', 'atteindre', 'DRANCY', 'à', 'partir', 'de', 'GRASSE', '?']","[0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 37, 'end': 43, 'label': 'DEP'}, {'start': 18, 'end': 24, 'label': 'ARR'}]"
Comment me rendre de VANNES à OULLINS ?,"['Comment', 'me', 'rendre', 'de', 'VANNES', 'à', 'OULLINS', '?']","[0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 21, 'end': 27, 'label': 'DEP'}, {'start': 30, 'end': 37, 'label': 'ARR'}]"
Comment me rendre à SAINT-MARTIN-D'HÈRES depuis NEVERS ?,"['Comment', 'me', 'rendre', 'à', ""SAINT-MARTIN-D'HÈRES"", 'depuis', 'NEVERS', '?']","[0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 48, 'end': 54, 'label': 'DEP'}, {'start': 20, 'end': 40, 'label': 'ARR'}]"
Comment puis-je aller à FRÉJUS en venant de HERBLAY-SUR-SEINE ?,"['Comment', 'puis', '-je', 'aller', 'à', 'FRÉJUS', 'en', 'venant', 'de', 'HERBLAY-SUR-SEINE', '?']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 44, 'end': 61, 'label': 'DEP'}, {'start': 24, 'end': 30, 'label': 'ARR'}]"
Comment puis-je me rendre de LE PETIT-QUEVILLY à CREIL ?,"['Comment', 'puis', '-je', 'me', 'rendre', 'de', 'LE', 'PETIT-QUEVILLY', 'à', 'CREIL', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 29, 'end': 46, 'label': 'DEP'}, {'start': 49, 'end': 54, 'label': 'ARR'}]"
Comment puis-je me rendre de LANNION à METZ le plus rapidement ?,"['Comment', 'puis', '-je', 'me', 'rendre', 'de', 'LANNION', 'à', 'METZ', 'le', 'plus', 'rapidement', '?']","[0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0]","[{'start': 29, 'end': 36, 'label': 'DEP'}, {'start': 39, 'end': 43, 'label': 'ARR'}]"
Comment puis-je me rendre à LIÉVIN en partant de LANESTER ?,"['Comment', 'puis', '-je', 'me', 'rendre', 'à', 'LIÉVIN', 'en', 'partant', 'de', 'LANESTER', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 49, 'end': 57, 'label': 'DEP'}, {'start': 28, 'end': 34, 'label': 'ARR'}]"
Comment puis-je rejoindre FONTENAY-SOUS-BOIS depuis BIARRITZ ?,"['Comment', 'puis', '-je', 'rejoindre', 'FONTENAY-SOUS-BOIS', 'depuis', 'BIARRITZ', '?']","[0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 52, 'end': 60, 'label': 'DEP'}, {'start': 26, 'end': 44, 'label': 'ARR'}]"
Comment puis-je rejoindre VINCENNES à partir de FORBACH ?,"['Comment', 'puis', '-je', 'rejoindre', 'VINCENNES', 'à', 'partir', 'de', 'FORBACH', '?']","[0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 48, 'end': 55, 'label': 'DEP'}, {'start': 26, 'end': 35, 'label': 'ARR'}]"
De MONTMORENCY vers ISTRES.,"['De', 'MONTMORENCY', 'vers', 'ISTRES', '.']","[0, 1, 0, 3, 0]","[{'start': 3, 'end': 14, 'label': 'DEP'}, {'start': 20, 'end': 26, 'label': 'ARR'}]"
De MONTGERON à CRÉTEIL.,"['De', 'MONTGERON', 'à', 'CRÉTEIL', '.']","[0, 1, 0, 3, 0]","[{'start': 3, 'end': 12, 'label': 'DEP'}, {'start': 15, 'end': 22, 'label': 'ARR'}]"
Depuis LONGJUMEAU vers LES PAVILLONS-SOUS-BOIS.,"['Depuis', 'LONGJUMEAU', 'vers', 'LES', 'PAVILLONS-SOUS-BOIS', '.']","[0, 1, 0, 0, 0, 0]","[{'start': 7, 'end': 17, 'label': 'DEP'}, {'start': 23, 'end': 46, 'label': 'ARR'}]"
Dirigez-vous vers CASTRES en partant de BÈGLES.,"['Dirigez', '-vous', 'vers', 'CASTRES', 'en', 'partant', 'de', 'BÈGLES', '.']","[0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 40, 'end': 46, 'label': 'DEP'}, {'start': 18, 'end': 25, 'label': 'ARR'}]"
Il y a-t-il des trains de FORT-DE-FRANCE à CANNES ?,"['Il', 'y', 'a', '-t', '-il', 'des', 'trains', 'de', 'FORT-DE-FRANCE', 'à', 'CANNES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 26, 'end': 40, 'label': 'DEP'}, {'start': 43, 'end': 49, 'label': 'ARR'}]"
Il y a-t-il des trains vers MORSANG-SUR-ORGE depuis WATTRELOS ?,"['Il', 'y', 'a', '-t', '-il', 'des', 'trains', 'vers', 'MORSANG-SUR-ORGE', 'depuis', 'WATTRELOS', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 52, 'end': 61, 'label': 'DEP'}, {'start': 28, 'end': 44, 'label': 'ARR'}]"
Indique-moi le chemin depuis PETIT-BOURG jusqu'à SAINT-FONS.,"['Indique', '-moi', 'le', 'chemin', 'depuis', 'PETIT-BOURG', ""jusqu'"", 'à', 'SAINT-FONS', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 29, 'end': 40, 'label': 'DEP'}, {'start': 49, 'end': 59, 'label': 'ARR'}]"
Indique-moi le trajet de SARCELLES à L'HAŸ-LES-ROSES.,"['Indique', '-moi', 'le', 'trajet', 'de', 'SARCELLES', 'à', ""L'"", 'HAŸ-LES-ROSES', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 25, 'end': 34, 'label': 'DEP'}, {'start': 37, 'end': 52, 'label': 'ARR'}]"
Indique-moi le trajet le plus simple de MONTÉLIMAR vers DOLE.,"['Indique', '-moi', 'le', 'trajet', 'le', 'plus', 'simple', 'de', 'MONTÉLIMAR', 'vers', 'DOLE', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 40, 'end': 50, 'label': 'DEP'}, {'start': 56, 'end': 60, 'label': 'ARR'}]"
Indique-moi le trajet le plus simple depuis MONTROUGE vers CAHORS.,"['Indique', '-moi', 'le', 'trajet', 'le', 'plus', 'simple', 'depuis', 'MONTROUGE', 'vers', 'CAHORS', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 44, 'end': 53, 'label': 'DEP'}, {'start': 59, 'end': 65, 'label': 'ARR'}]"
J'aimerais aller à LA COURNEUVE en partant de DAX.,"[""J'"", 'aimerais', 'aller', 'à', 'LA', 'COURNEUVE', 'en', 'partant', 'de', 'DAX', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 46, 'end': 49, 'label': 'DEP'}, {'start': 19, 'end': 31, 'label': 'ARR'}]"
J'aimerais connaître le chemin pour aller de NOISY-LE-SEC à RILLIEUX-LA-PAPE.,"[""J'"", 'aimerais', 'connaître', 'le', 'chemin', 'pour', 'aller', 'de', 'NOISY-LE-SEC', 'à', 'RILLIEUX-LA-PAPE', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 45, 'end': 57, 'label': 'DEP'}, {'start': 60, 'end': 76, 'label': 'ARR'}]"
J'aimerais connaître le chemin pour aller à METZ depuis MONTBÉLIARD.,"[""J'"", 'aimerais', 'connaître', 'le', 'chemin', 'pour', 'aller', 'à', 'METZ', 'depuis', 'MONTBÉLIARD', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 56, 'end': 67, 'label': 'DEP'}, {'start': 44, 'end': 48, 'label': 'ARR'}]"
J'aimerais me rendre de MOUGINS à LAVAL.,"[""J'"", 'aimerais', 'me', 'rendre', 'de', 'MOUGINS', 'à', 'LAVAL', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 24, 'end': 31, 'label': 'DEP'}, {'start': 34, 'end': 39, 'label': 'ARR'}]"
Je cherche le chemin pour aller à CHALON-SUR-SAÔNE depuis COUËRON.,"['Je', 'cherche', 'le', 'chemin', 'pour', 'aller', 'à', 'CHALON-SUR-SAÔNE', 'depuis', 'COUËRON', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 58, 'end': 65, 'label': 'DEP'}, {'start': 34, 'end': 50, 'label': 'ARR'}]"
Je cherche un moyen d'aller de BUSSY-SAINT-GEORGES à COMPIÈGNE.,"['Je', 'cherche', 'un', 'moyen', ""d'"", 'aller', 'de', 'BUSSY-SAINT-GEORGES', 'à', 'COMPIÈGNE', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 31, 'end': 50, 'label': 'DEP'}, {'start': 53, 'end': 62, 'label': 'ARR'}]"
Je cherche à me déplacer de LE CANNET à TOULON. Comment procéder ?,"['Je', 'cherche', 'à', 'me', 'déplacer', 'de', 'LE', 'CANNET', 'à', 'TOULON', '.', 'Comment', 'procéder', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]","[{'start': 28, 'end': 37, 'label': 'DEP'}, {'start': 40, 'end': 46, 'label': 'ARR'}]"
Je cherche à me déplacer vers VANVES depuis SAINT-BENOÎT. Comment procéder ?,"['Je', 'cherche', 'à', 'me', 'déplacer', 'vers', 'VANVES', 'depuis', 'SAINT-BENOÎT', '.', 'Comment', 'procéder', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0]","[{'start': 44, 'end': 56, 'label': 'DEP'}, {'start': 30, 'end': 36, 'label': 'ARR'}]"
Je cherche à me déplacer vers VILLEPARISIS depuis LA ROCHE-SUR-YON. Peux-tu m'aider ?,"['Je', 'cherche', 'à', 'me', 'déplacer', 'vers', 'VILLEPARISIS', 'depuis', 'LA', 'ROCHE-SUR-YON', '.', 'Peux', '-', 'tu', ""m'"", 'aider', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 50, 'end': 66, 'label': 'DEP'}, {'start': 30, 'end': 42, 'label': 'ARR'}]"
Je désire aller de SAINT-CYR-L'ÉCOLE à VALENCIENNES. Comment faire ?,"['Je', 'désire', 'aller', 'de', ""SAINT-CYR-L'ÉCOLE"", 'à', 'VALENCIENNES', '.', 'Comment', 'faire', '?']","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0]","[{'start': 19, 'end': 36, 'label': 'DEP'}, {'start': 39, 'end': 51, 'label': 'ARR'}]"
