Phrase,Entities
Je voudrais aller de Toulouse à Bordeaux.,"[[21, 29, 'DEPARTURE'], [32, 40, 'DESTINATION']]"
Comment me rendre à Port-Boulet depuis la gare de Tours ?,"[[20, 31, 'DESTINATION'], [50, 55, 'DEPARTURE']]"
Je veux aller voir mon ami Albert à Tours en partant de Bordeaux.,"[[36, 41, 'DESTINATION'], [56, 64, 'DEPARTURE']]"
Y a-t-il des trains de Nantes à Montaigu ?,"[[23, 29, 'DEPARTURE'], [32, 40, 'DESTINATION']]"
Une phrase sans origine ni destination.,[]
"Si pas de numéro de séquence, on considère que c'est zéro",[]
Is there any train going from Paris to Marseille ?,[]
Je souhaite me rendre à Paris en partant de Toulouse,"[[25, 30, 'DESTINATION'], [45, 53, 'DEPARTURE']]"
Je quitte Lyon pour aller à Marseille,"[[11, 15, 'DEPARTURE'], [29, 38, 'DESTINATION']]"
"En partant de Bordeaux, je veux me rendre à Lille","[[15, 23, 'DEPARTURE'], [45, 50, 'DESTINATION']]"
Nantes est ma ville de départ pour rejoindre Strasbourg,"[[1, 7, 'DEPARTURE'], [46, 56, 'DESTINATION']]"
Je pars de Nice pour me rendre à Montpellier,"[[12, 16, 'DEPARTURE'], [34, 45, 'DESTINATION']]"
Rennes est d'où je pars pour aller à Toulon,"[[1, 7, 'DEPARTURE'], [38, 44, 'DESTINATION']]"
"En partant de Nîmes, je veux rejoindre Angers","[[15, 20, 'DEPARTURE'], [40, 46, 'DESTINATION']]"
Je quitte Grenoble pour me rendre à Clermont-Ferrand,"[[11, 19, 'DEPARTURE'], [37, 53, 'DESTINATION']]"
Je souhaite me rendre à Bordeaux en partant de Marseille,"[[25, 33, 'DESTINATION'], [48, 57, 'DEPARTURE']]"
Je pars de Strasbourg pour rejoindre Lyon,"[[12, 22, 'DEPARTURE'], [38, 42, 'DESTINATION']]"
Paris est ma ville de départ pour aller à Lille,"[[1, 6, 'DEPARTURE'], [43, 48, 'DESTINATION']]"
Je quitte Montpellier pour me rendre à Toulouse,"[[11, 22, 'DEPARTURE'], [40, 48, 'DESTINATION']]"
"En partant de Marseille, je veux me rendre à Nice","[[15, 24, 'DEPARTURE'], [46, 50, 'DESTINATION']]"
Je pars de Lille pour rejoindre Rennes,"[[12, 17, 'DEPARTURE'], [33, 39, 'DESTINATION']]"
Je souhaite me rendre à Lyon en partant de Toulon,"[[25, 29, 'DESTINATION'], [44, 50, 'DEPARTURE']]"
Je quitte Clermont-Ferrand pour aller à Nîmes,"[[11, 27, 'DEPARTURE'], [41, 46, 'DESTINATION']]"
"En partant d'Angers, je veux me rendre à Bordeaux","[[12, 20, 'DEPARTURE'], [42, 50, 'DESTINATION']]"
Je pars de Toulouse pour rejoindre Paris,"[[12, 20, 'DEPARTURE'], [36, 41, 'DESTINATION']]"
Nantes est ma ville de départ pour aller à Strasbourg,"[[1, 7, 'DEPARTURE'], [44, 54, 'DESTINATION']]"
Je quitte Nice pour me rendre à Montpellier,"[[11, 15, 'DEPARTURE'], [33, 44, 'DESTINATION']]"
"Je désire me rendre à la majestueuse ville de Paris, en émanant de la belle cité de Toulouse","[[47, 52, 'DESTINATION'], [85, 93, 'DEPARTURE']]"
Je quitte la splendide cité de Lyon en vue de gagner la magnifique ville de Marseille,"[[32, 36, 'DEPARTURE'], [77, 86, 'DESTINATION']]"
"En provenance de la prestigieuse métropole bordelaise, je souhaite me diriger vers la charmante cité de Lille","[[34, 54, 'DEPARTURE'], [105, 110, 'DESTINATION']]"
La ville de Nantes est mon point d'origine pour rejoindre la vénérable ville de Strasbourg,"[[13, 19, 'DEPARTURE'], [81, 91, 'DESTINATION']]"
