text,entities
Je souhaite me rendre à Lyon en partant de Strasbourg,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 54, 'label': 'DEPARTURE'}]"
Je vais faire le trajet Marseille / Bordeaux demain.,"[{'start': 24, 'end': 33, 'label': 'DEPARTURE'}, {'start': 36, 'end': 44, 'label': 'DESTINATION'}]"
Comment partir de Lyon pour aller à Bordeaux en train ?,"[{'start': 19, 'end': 23, 'label': 'DEPARTURE'}, {'start': 37, 'end': 45, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Rennes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je quitte Clermont-Ferrand pour aller à Nîmes,"[{'start': 11, 'end': 27, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Grenoble,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
"En provenance de la prestigieuse métropole bordelaise, je souhaite me diriger vers la charmante cité de Lille","[{'start': 34, 'end': 54, 'label': 'DEPARTURE'}, {'start': 105, 'end': 110, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Lille,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Comment puis-je rejoindre la gare de Lyon depuis le centre de Paris ?,"[{'start': 38, 'end': 42, 'label': 'DESTINATION'}, {'start': 63, 'end': 68, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Nîmes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Nice,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 48, 'label': 'DEPARTURE'}]"
"En tant que membre de l'orchestre, je pars de Marseille pour Nice, où nous donnerons un concert","[{'start': 47, 'end': 56, 'label': 'DEPARTURE'}, {'start': 62, 'end': 66, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Nice,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 48, 'label': 'DEPARTURE'}]"
J'entame mon périple depuis la distinguée ville de Rennes en direction de la ravissante cité de Toulon,"[{'start': 52, 'end': 58, 'label': 'DEPARTURE'}, {'start': 97, 'end': 103, 'label': 'DESTINATION'}]"
Comment se rendre de Marseille à Angers en train ?,"[{'start': 22, 'end': 31, 'label': 'DEPARTURE'}, {'start': 34, 'end': 40, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Grenoble,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
"J'ai réservé un billet de train depuis Strasbourg pour Lyon, où je retrouverai l'écrivain célèbre Jean Clermont","[{'start': 40, 'end': 50, 'label': 'DEPARTURE'}, {'start': 56, 'end': 60, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Nice,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 48, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Toulouse,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 40, 'label': 'DESTINATION'}]"
Je pars de la glorieuse ville de Strasbourg en vue de rejoindre la prestigieuse cité de Lyon,"[{'start': 34, 'end': 44, 'label': 'DEPARTURE'}, {'start': 89, 'end': 93, 'label': 'DESTINATION'}]"
Je quitte Clermont-Ferrand pour aller à Nîmes en faisant une escale à Paris.,"[{'start': 11, 'end': 27, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}, {'start': 71, 'end': 76, 'label': 'ESCALE'}]"
"Je pars de Toulouse, je récupère mon frère à Annecy et on se rend à Paris.","[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 46, 'end': 52, 'label': 'ESCALE'}, {'start': 69, 'end': 74, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Grenoble,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
